Starting Radixsort... 
 Suf# 94 , FinalPos 0 = aaaece
Suf# 19 , FinalPos 1 = aabccbbcdadaddcdacbcddadbbebbcecdcbabeeecebaedbeccdacdedeacddbabeddcdebadecaaaece
Suf# 4 , FinalPos 2 = adacbcbdcbbddbdaabccbbcdadaddcdacbcddadbbebbcecdcbabeeecebaedbeccdacdedeacddbabeddcdebadecaaaece
Suf# 20 , FinalPos 3 = abccbbcdadaddcdacbcddadbbebbcecdcbabeeecebaedbeccdacdedeacddbabeddcdebadecaaaece
Suf# 54 , FinalPos 4 = abeeecebaedbeccdacdedeacddbabeddcdebadecaaaece
Suf# 81 , FinalPos 5 = abeddcdebadecaaaece
Suf# 6 , FinalPos 6 = acbcbdcbbddbdaabccbbcdadaddcdacbcddadbbebbcecdcbabeeecebaedbeccdacdedeacddbabeddcdebadecaaaece
Suf# 35 , FinalPos 7 = acbcddadbbebbcecdcbabeeecebaedbeccdacdedeacddbabeddcdebadecaaaece
Suf# 70 , FinalPos 8 = acdedeacddbabeddcdebadecaaaece
Suf# 76 , FinalPos 9 = acddbabeddcdebadecaaaece
Suf# 4 , FinalPos 10 = adacbcbdcbbddbdaabccbbcdadaddcdacbcddadbbebbcecdcbabeeecebaedbeccdacdedeacddbabeddcdebadecaaaece
Suf# 28 , FinalPos 11 = adaddcdacbcddadbbebbcecdcbabeeecebaedbeccdacdedeacddbabeddcdebadecaaaece
Suf# 41 , FinalPos 12 = adbbebbcecdcbabeeecebaedbeccdacdedeacddbabeddcdebadecaaaece
Suf# 30 , FinalPos 13 = addcdacbcddadbbebbcecdcbabeeecebaedbeccdacdedeacddbabeddcdebadecaaaece
Suf# 90 , FinalPos 14 = adecaaaece
Suf# 62 , FinalPos 15 = aedbeccdacdedeacddbabeddcdebadecaaaece
Suf# 96 , FinalPos 16 = aece
Suf# 53 , FinalPos 17 = babeeecebaedbeccdacdedeacddbabeddcdebadecaaaece
Suf# 80 , FinalPos 18 = babeddcdebadecaaaece
Suf# 89 , FinalPos 19 = badecaaaece
Suf# 61 , FinalPos 20 = baedbeccdacdedeacddbabeddcdebadecaaaece
Suf# 24 , FinalPos 21 = bbcdadaddcdacbcddadbbebbcecdcbabeeecebaedbeccdacdedeacddbabeddcdebadecaaaece
Suf# 46 , FinalPos 22 = bbcecdcbabeeecebaedbeccdacdedeacddbabeddcdebadecaaaece
Suf# 13 , FinalPos 23 = bbddbdaabccbbcdadaddcdacbcddadbbebbcecdcbabeeecebaedbeccdacdedeacddbabeddcdebadecaaaece
Suf# 43 , FinalPos 24 = bbebbcecdcbabeeecebaedbeccdacdedeacddbabeddcdebadecaaaece
Suf# 8 , FinalPos 25 = bcbdcbbddbdaabccbbcdadaddcdacbcddadbbebbcecdcbabeeecebaedbeccdacdedeacddbabeddcdebadecaaaece
Suf# 21 , FinalPos 26 = bccbbcdadaddcdacbcddadbbebbcecdcbabeeecebaedbeccdacdedeacddbabeddcdebadecaaaece
Suf# 25 , FinalPos 27 = bcdadaddcdacbcddadbbebbcecdcbabeeecebaedbeccdacdedeacddbabeddcdebadecaaaece
Suf# 37 , FinalPos 28 = bcddadbbebbcecdcbabeeecebaedbeccdacdedeacddbabeddcdebadecaaaece
